용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
비과세여부,TXFR_YN,여부,여부C1,CHAR(1),,세금을 매기지 않는 대상인지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
비과세한도금액,TXFR_LIM_AMT,금액,금액N15,NUMBER(15),,세금을 매기지 않은 돈의 정도를 한정한 돈의 액수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
비과세합계금액,TXFR_SUM_AMT,금액,금액N15,NUMBER(15),,세금을 매기지 않은 돈을 한데 합하여 계산한 돈의 액수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
비대상사유,NTRGT_RSN,내용,내용V4000,VARCHAR(4000),,어떤 일의 상대 또는 목표나 목적이 되는 것에서 제외된 이유,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
비동의사유,DSAG_RSN,내용,내용V4000,VARCHAR(4000),,다른 사람의 행위를 승인하거나 시인하지 않은 이유,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
비목명,ITMEXP_NM,명,명V200,VARCHAR(200),,어떤 일이나 살림하면서 들어가는 돈의 용도를 목적에 따라 나눈 항목의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
비밀번호만료일자,PSWD_EXPRY_YMD,연월일,연월일C8,CHAR(8),,컴퓨터 시스템 등에서 보안을 위해 사용하는 개인 고유의 문자열의 유효기간이 끝나는 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
비밀번호변경시각,PSWD_CHG_TM,시분초,시분초C6,CHAR(6),,컴퓨터 시스템 등에서 보안을 위해 사용하는 개인 고유의 문자열을 다르게 바꾸어 새롭게 고친 어느 한 시점,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
비밀번호변경여부,PSWD_CHG_YN,여부,여부C1,CHAR(1),,비밀번호를 다르게 바꾸어 새롭게 고쳤는지 여부,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
비밀번호변경일시,PSWD_CHG_DT,연월일시분초,연월일시분초D,DATE,,컴퓨터 시스템 등에서 보안을 위해 사용하는 개인 고유의 문자열을 다르게 바꾸어 새롭게 고친 날짜와 시각,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
비밀번호변경일자,PSWD_CHG_YMD,연월일,연월일C8,CHAR(8),,컴퓨터 시스템 등에서 보안을 위해 사용하는 개인 고유의 문자열을 다르게 바꾸어 새롭게 고친 날짜,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
비밀번호변경주기내용,PSWD_CHG_CYCLE_CN,내용,내용V4000,VARCHAR(4000),,컴퓨터 시스템 등에서 보안을 위해 사용하는 개인 고유의 문자열을 다르게 바꾸어 새롭게 고치는 것이 되풀이되기까지의 기간을 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
